ANHO_ING,sexo,CODIGO_CARRERA_x,coh,ret_1_n,ret_2_n,ret_3_n,ret_4_n,ret_1,ret_2,ret_3,ret_4,NIVEL_GLOBAL
2007,M,MED,39,37.0,35.0,35.0,35.0,0.9487179487179487,0.8974358974358975,0.8974358974358975,0.8974358974358975,PREGRADO
2007,M,OBP,14,13.0,11.0,11.0,11.0,0.9285714285714286,0.7857142857142857,0.7857142857142857,0.7857142857142857,PREGRADO
2007,M,PEDCAST,12,11.0,6.0,6.0,6.0,0.9166666666666666,0.5,0.5,0.5,PREGRADO
2007,M,PEDEGB,13,12.0,10.0,10.0,10.0,0.9230769230769231,0.7692307692307693,0.7692307692307693,0.7692307692307693,PREGRADO
2007,M,PEDFILOS,20,17.0,10.0,8.0,8.0,0.85,0.5,0.4,0.4,PREGRADO
2007,M,PEDFISMAT,21,20.0,20.0,18.0,17.0,0.9523809523809523,0.9523809523809523,0.8571428571428571,0.8095238095238095,PREGRADO
2007,M,PEDHS,18,17.0,14.0,12.0,12.0,0.9444444444444444,0.7777777777777778,0.6666666666666666,0.6666666666666666,PREGRADO
2007,M,PEDINGLES,8,7.0,7.0,6.0,6.0,0.875,0.875,0.75,0.75,PREGRADO
2007,M,PEDMATCOMP,23,19.0,19.0,15.0,13.0,0.8260869565217391,0.8260869565217391,0.6521739130434783,0.5652173913043478,PREGRADO
2007,M,PEDQUIMBIO,12,9.0,8.0,7.0,7.0,0.75,0.6666666666666666,0.5833333333333334,0.5833333333333334,PREGRADO
2007,M,PEP,11,9.0,5.0,5.0,2.0,0.8181818181818182,0.45454545454545453,0.45454545454545453,0.18181818181818182,PREGRADO
2007,M,PER,29,24.0,20.0,18.0,15.0,0.8275862068965517,0.6896551724137931,0.6206896551724138,0.5172413793103449,PREGRADO
2007,M,POSAG,20,1.0,1.0,,,0.05,0.05,,,POSTITUTLO
2007,M,POSAM,8,,,,,,,,,POSTITUTLO
2007,M,POSAN,4,3.0,3.0,,,0.75,0.75,,,POSTITUTLO
2007,M,POSAPA,1,1.0,1.0,,,1.0,1.0,,,POSTITUTLO
2007,M,POSCG,14,9.0,3.0,,,0.6428571428571429,0.21428571428571427,,,POSTITUTLO
2007,M,POSEI,6,,,,,,,,,POSTITUTLO
2007,M,POSEMI,8,7.0,3.0,,,0.875,0.375,,,POSTITUTLO
2007,M,POSEPI,3,2.0,,,,0.6666666666666666,,,,POSTITUTLO
2007,M,POSEPR,26,,,,,,,,,POSTITUTLO
2007,M,POSGEO,18,,,,,,,,,POSTITUTLO
2007,M,POSGER,1,1.0,,,,1.0,,,,POSTITUTLO
2007,M,POSGO,6,2.0,1.0,,,0.3333333333333333,0.16666666666666666,,,POSTITUTLO
2007,M,POSIAM,7,,,,,,,,,POSTITUTLO
2007,M,POSIC,12,,,,,,,,,POSTITUTLO
2007,M,POSLTRI,20,1.0,1.0,1.0,,0.05,0.05,0.05,,POSTITUTLO
2007,M,POSMARN,5,,,,,,,,,POSTITUTLO
2007,M,POSMF,2,1.0,,,,0.5,,,,POSTITUTLO
2007,M,POSMU,3,3.0,3.0,,,1.0,1.0,,,POSTITUTLO
2007,M,POSNEU,5,4.0,1.0,,,0.8,0.2,,,POSTITUTLO
2007,M,POSPED,1,,,,,,,,,POSTITUTLO
2007,M,POSPP,5,,,,,,,,,POSTITUTLO
2007,M,POSTROR,8,6.0,2.0,,,0.75,0.25,,,POSTITUTLO
2007,M,POSURO,3,3.0,1.0,,,1.0,0.3333333333333333,,,POSTITUTLO
2007,M,PRE,39,19.0,2.0,1.0,,0.48717948717948717,0.05128205128205128,0.02564102564102564,,PREGRADO
2007,M,PSI,19,18.0,17.0,17.0,17.0,0.9473684210526315,0.8947368421052632,0.8947368421052632,0.8947368421052632,PREGRADO
2007,M,PUB,49,42.0,33.0,24.0,24.0,0.8571428571428571,0.673469387755102,0.4897959183673469,0.4897959183673469,PREGRADO
2007,M,TAI,37,32.0,28.0,19.0,2.0,0.8648648648648649,0.7567567567567568,0.5135135135135135,0.05405405405405406,PREGRADO
2007,M,TAP,30,24.0,23.0,9.0,2.0,0.8,0.7666666666666667,0.3,0.06666666666666667,PREGRADO
2007,M,TCI,16,13.0,13.0,3.0,1.0,0.8125,0.8125,0.1875,0.0625,PREGRADO
2007,M,TCO,27,26.0,26.0,19.0,1.0,0.9629629629629629,0.9629629629629629,0.7037037037037037,0.037037037037037035,PREGRADO
2007,M,TDI,21,16.0,14.0,14.0,5.0,0.7619047619047619,0.6666666666666666,0.6666666666666666,0.23809523809523808,PREGRADO
